Parent,Child,Parent_size,Child_size,Parent_box_no,Child_box_no,Order,Overlap_perc,Participant_id,Image,Rotation_difference,Sym_axis_overlap
1917.0,1919.0,87467.99864196777,14673.000079780808,0.0,2.0,Parent to Child,0.893034827456622,199.0,COCO - 000000217793.jpg,0.0,0.0
1917.0,1920.0,87467.99864196777,14673.000079780812,0.0,3.0,Parent to Child,0.8582089573262203,199.0,COCO - 000000217793.jpg,0.0,0.0
1917.0,1921.0,87467.99864196777,14673.000079780812,0.0,4.0,Parent to Child,1.0,199.0,COCO - 000000217793.jpg,0.0,0.0
1925.0,1926.0,77399.99914467339,18400.00002384185,0.0,1.0,Parent to Child,0.9796467394394451,199.0,MIRFLICKR25 - im12013.jpg,90.0,0.0
1925.0,1927.0,77399.99914467339,18400.000023841858,0.0,2.0,Parent to Child,1.0,199.0,MIRFLICKR25 - im12013.jpg,90.0,0.0
1928.0,1929.0,20878.00002151726,20878.00002151726,0.0,1.0,Parent to Child,0.9691780827138758,199.0,EVA - 29164.jpg,90.0,0.07315598548972188
1951.0,1952.0,19602.00015342235,8910.000150203703,0.0,1.0,Parent to Child,0.9838945008945509,199.0,MemCat - n04587559_11388.jpg,90.0,0.10341880341880341
1951.0,1953.0,19602.00015342235,8910.000150203698,0.0,2.0,Parent to Child,0.9432098779387426,199.0,MemCat - n04587559_11388.jpg,90.0,0.6246498599439776
1952.0,1953.0,8910.000150203703,8910.000150203698,1.0,2.0,Parent to Child,0.948933783646431,199.0,MemCat - n04587559_11388.jpg,90.0,0.11297852474323063
1955.0,1954.0,179871.99644988778,27599.999886751175,1.0,0.0,Child to Parent,1.0,199.0,EVA - 388808.jpg,0.0,0.8207247298156389
1956.0,1957.0,29204.99988511206,29204.99988511205,0.0,1.0,Parent to Child,0.970493066585385,199.0,COCO - 000000349425.jpg,90.0,0.06419098143236074
2021.0,2020.0,175768.0,25979.0,2.0,1.0,Child to Parent,1.0,205.0,richard-tuttle_two-with-any-2-1-1999.jpg,90.0,0.03433598183881952
2022.0,2023.0,97217.99999999999,6099.0,0.0,1.0,Parent to Child,0.9999999999999999,205.0,claude-viallat_untitled-2007-235-2007.jpg,77.71614326050734,0.0970464135021097
2022.0,2024.0,97217.99999999999,6098.999999999998,0.0,2.0,Parent to Child,1.0,205.0,claude-viallat_untitled-2007-235-2007.jpg,77.71614326050734,0.0
2022.0,2025.0,97217.99999999999,6099.000000000003,0.0,3.0,Parent to Child,1.0,205.0,claude-viallat_untitled-2007-235-2007.jpg,77.71614326050734,0.0
2022.0,2026.0,97217.99999999999,6740.999999999998,0.0,4.0,Parent to Child,1.0,205.0,claude-viallat_untitled-2007-235-2007.jpg,77.71614326050734,0.0
2022.0,2027.0,97217.99999999999,6741.0,0.0,5.0,Parent to Child,0.9999999999999999,205.0,claude-viallat_untitled-2007-235-2007.jpg,77.71614326050734,0.03926096997690531
2022.0,2028.0,97217.99999999999,6741.0000000000055,0.0,6.0,Parent to Child,0.9347798367202947,205.0,claude-viallat_untitled-2007-235-2007.jpg,77.71614326050734,0.0
2032.0,2033.0,148947.0,77280.0,0.0,1.0,Parent to Child,1.0,205.0,jimmy-ernst_moonscape-1969.jpg,0.0,0.9111324991979467
2046.0,2047.0,119034.0,20814.999999999993,0.0,1.0,Parent to Child,0.9611697514811173,205.0,andrei-ryabushkin_red-house.jpg,90.0,0.0
2046.0,2048.0,119034.0,24380.0,0.0,2.0,Parent to Child,1.0,205.0,andrei-ryabushkin_red-house.jpg,90.0,0.0
2080.0,2082.0,46200.0,1536.0,1.0,3.0,Parent to Child,1.0,208.0,jules-lefranc_le-metro-aerien.jpg,0.0,0.0
2090.0,2091.0,189930.00000000003,189930.00000000003,0.0,1.0,Parent to Child,0.9893307439402419,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.02752924982794219
2090.0,2092.0,189930.00000000003,4703.999999999997,0.0,2.0,Parent to Child,1.0000000000000002,208.0,andre-pierre-arnal_pliage-folded-painting-1971-2.jpg,88.80651057601796,0.0
